,index,title,pubDate,guid,link,description
17,4338,Week in pictures: 11-17 June 2022,"Fri, 17 Jun 2022 23:42:35 GMT",https://www.bbc.co.uk/news/in-pictures-61833427,https://www.bbc.co.uk/news/in-pictures-61833427?at_medium=RSS&at_campaign=KARANGA,"A selection of powerful images from all over the globe, taken in the past seven days."
18,4825,Xi Jinping in Hong Kong: Tight security as city marks 25 years of handover,"Fri, 01 Jul 2022 01:54:15 GMT",https://www.bbc.co.uk/news/world-asia-china-61876082,https://www.bbc.co.uk/news/world-asia-china-61876082?at_medium=RSS&at_campaign=KARANGA,China's leader Xi Jinping is visiting in his first trip outside the mainland since the start of the pandemic.
19,13609,Rescues carried out in silence to listen for sounds of life,"Wed, 08 Feb 2023 21:21:59 GMT",https://www.bbc.co.uk/news/world-europe-64570463,https://www.bbc.co.uk/news/world-europe-64570463?at_medium=RSS&at_campaign=KARANGA,"Days after Turkey's devastating earthquake, there are still some moments of joy, but they are fewer."
20,13042,Nick Pope: Newcastle goalkeeper extends incredible clean sheet record,"Tue, 24 Jan 2023 23:40:46 GMT",https://www.bbc.co.uk/sport/football/64395032,https://www.bbc.co.uk/sport/football/64395032?at_medium=RSS&at_campaign=KARANGA,"Nick Pope's £10m transfer fee is looking like a snip after he kept his 10th clean sheet in a row to put Newcastle one step closer to the EFL Cup final, writes BBC Sport's Phil McNulty."
21,3869,How China plans to become the next big space power,"Sun, 05 Jun 2022 23:01:47 GMT",https://www.bbc.co.uk/news/world-asia-china-61511546,https://www.bbc.co.uk/news/world-asia-china-61511546?at_medium=RSS&at_campaign=KARANGA,China plans to put astronauts on the Moon and send probes to Mars and Jupiter. Why the grand plans?
22,714,Barcelona thrash leaders Real Madrid in famous Clasico win,"Sun, 20 Mar 2022 23:09:29 GMT",https://www.bbc.co.uk/sport/football/60816848,https://www.bbc.co.uk/sport/football/60816848?at_medium=RSS&at_campaign=KARANGA,Pierre-Emerick Aubameyang scores twice on his El Clasico debut as Barcelona stun Real Madrid 4-0 at the Bernabeu.
23,14615,Kuenssberg: The Budget cannot mask big changes to our economy,"Sat, 11 Mar 2023 16:03:22 GMT",https://www.bbc.co.uk/news/uk-politics-64926786,https://www.bbc.co.uk/news/uk-politics-64926786?at_medium=RSS&at_campaign=KARANGA,"Both main parties are under pressure to make the country and its people richer, writes Laura Kuenssberg."
24,13584,Nicola Bulley search: What we know about her disappearance,"Thu, 09 Feb 2023 13:38:27 GMT",https://www.bbc.co.uk/news/uk-england-lancashire-64580783,https://www.bbc.co.uk/news/uk-england-lancashire-64580783?at_medium=RSS&at_campaign=KARANGA,"The missing mum vanished on a riverside dog walk in St Michael's on Wyre, Lancashire on 27 January."
25,9993,Cost of living: Can Christmas lights displays survive the energy crisis?,"Sat, 05 Nov 2022 00:43:58 GMT",https://www.bbc.co.uk/news/uk-england-derbyshire-63499154,https://www.bbc.co.uk/news/uk-england-derbyshire-63499154?at_medium=RSS&at_campaign=KARANGA,"With the energy price cap at an all-time high, can householders keep their spectacular displays switched on?"
26,4537,The 100-year-old Edinburgh man still working three days a week,"Wed, 22 Jun 2022 05:28:33 GMT",https://www.bbc.co.uk/news/uk-scotland-61889775,https://www.bbc.co.uk/news/uk-scotland-61889775?at_medium=RSS&at_campaign=KARANGA,"David Flucker, who recently celebrated his 100th birthday, volunteers in an Edinburgh charity shop."
27,5905,Freya the 600kg walrus causes a stir in Norway,"Tue, 26 Jul 2022 14:07:22 GMT",https://www.bbc.co.uk/news/world-europe-62303866,https://www.bbc.co.uk/news/world-europe-62303866?at_medium=RSS&at_campaign=KARANGA,The young female marine mammal has been spotted clambering onto boats to doze in the summer sun.
28,3154,How can I offer a UK home to Ukrainian refugees?,"Thu, 19 May 2022 09:33:49 GMT",https://www.bbc.co.uk/news/60735121,https://www.bbc.co.uk/news/60735121?at_medium=RSS&at_campaign=KARANGA,The government has launched two schemes to let Ukrainian refugees come to the UK.
29,13912,Nicola Bulley search: Former police boss says criticism is unfair,"Sat, 18 Feb 2023 12:24:00 GMT",https://www.bbc.co.uk/news/uk-england-lancashire-64688805,https://www.bbc.co.uk/news/uk-england-lancashire-64688805?at_medium=RSS&at_campaign=KARANGA,A former police boss defends Lancashire Police's investigation into her disappearance.
30,10122,Don Bolduc: Democrats elevated this Republican. Will it backfire?,"Mon, 07 Nov 2022 01:34:39 GMT",https://www.bbc.co.uk/news/world-us-canada-63537683,https://www.bbc.co.uk/news/world-us-canada-63537683?at_medium=RSS&at_campaign=KARANGA,"If Don Bolduc snatches the New Hampshire Senate seat off Democrats, their strategy will be questioned."
31,7719,Some strike action cancelled after the Queen's death,"Thu, 08 Sep 2022 20:27:34 GMT",https://www.bbc.co.uk/news/business-62827929,https://www.bbc.co.uk/news/business-62827929?at_medium=RSS&at_campaign=KARANGA,Strike action by postal workers and RMT train staff has been cancelled following the death of the Queen.
32,494,The neighbourhood leading a green energy revolution,"Wed, 16 Mar 2022 03:14:13 GMT",https://www.bbc.co.uk/news/business-60241966,https://www.bbc.co.uk/news/business-60241966?at_medium=RSS&at_campaign=KARANGA,A small area of Scotland is the home of a groundbreaking experiment to power homes with green hydrogen.
33,3621,Men's U17 European Championship: Dutch 17-year-old Isaac Babadi scores Panenka penalty,"Mon, 30 May 2022 13:39:08 GMT",https://www.bbc.co.uk/sport/av/football/61636875,https://www.bbc.co.uk/sport/av/football/61636875?at_medium=RSS&at_campaign=KARANGA,Watch Netherlands' U17 captain Isaac Babadi calmly score a 'Panenka' penalty to win their shootout against Serbia and send the defending champions to the U17 European Championship final.
34,4720,Amtrak derailment: Three killed in Missouri after train hits truck,"Tue, 28 Jun 2022 00:36:40 GMT",https://www.bbc.co.uk/news/world-us-canada-61958813,https://www.bbc.co.uk/news/world-us-canada-61958813?at_medium=RSS&at_campaign=KARANGA,More than 250 people were onboard the Los Angeles-Chicago train when it hit a dump truck.
35,7226,Energy price cap: Rising bills - four discounts and payments that could help you,"Thu, 25 Aug 2022 23:22:08 GMT",https://www.bbc.co.uk/news/business-62674146,https://www.bbc.co.uk/news/business-62674146?at_medium=RSS&at_campaign=KARANGA,Colletta Smith tells you - in a minute - about money available to help with rising energy costs.
36,13945,Environment: Are mushroom boards the future of surfing?,"Sun, 19 Feb 2023 07:03:21 GMT",https://www.bbc.co.uk/news/uk-wales-64663009,https://www.bbc.co.uk/news/uk-wales-64663009?at_medium=RSS&at_campaign=KARANGA,Steve Davies hopes to address the surfing industry's environmental impact - with mushrooms.
37,12472,Flying boats and other tech for cleaner shipping,"Fri, 06 Jan 2023 00:04:26 GMT",https://www.bbc.co.uk/news/business-63700540,https://www.bbc.co.uk/news/business-63700540?at_medium=RSS&at_campaign=KARANGA,"The shipping industry is experimenting with foils, sails and fuel to make itself less carbon intensive."
38,10920,Scottish football to ban heading the day before and after matches,"Mon, 28 Nov 2022 00:06:31 GMT",https://www.bbc.co.uk/news/uk-scotland-63767548,https://www.bbc.co.uk/news/uk-scotland-63767548?at_medium=RSS&at_campaign=KARANGA,Professional clubs told to limit training exercises with repetitive heading to one session per week.
39,12931,Chris Eubank Jr v Liam Smith: What next for boxing after 'unacceptable' taunts?,"Fri, 20 Jan 2023 22:10:35 GMT",https://www.bbc.co.uk/sport/boxing/64353747,https://www.bbc.co.uk/sport/boxing/64353747?at_medium=RSS&at_campaign=KARANGA,"Chris Eubank Jr says boxers ""need to set the example"" in the fight for an inclusive sport after controversy in Manchester."
40,6075,The town destroyed to make way for a whites-only suburb,"Fri, 29 Jul 2022 23:54:06 GMT",https://www.bbc.co.uk/news/stories-62325802,https://www.bbc.co.uk/news/stories-62325802?at_medium=RSS&at_campaign=KARANGA,“We won’t move!” – The first ‘forced removals’ of apartheid-era South Africa
41,8176,Ukraine war: A village celebrates Russian retreat,"Mon, 19 Sep 2022 23:39:34 GMT",https://www.bbc.co.uk/digihub/politics-62930568,https://www.bbc.co.uk/digihub/politics-62930568?at_medium=RSS&at_campaign=KARANGA,"Russia's Ukraine retreat leaves joy, but also destruction and danger."
42,544,Root hits ton as England take command against West Indies,"Wed, 16 Mar 2022 22:13:53 GMT",https://www.bbc.co.uk/sport/cricket/60768447,https://www.bbc.co.uk/sport/cricket/60768447?at_medium=RSS&at_campaign=KARANGA,Joe Root punishes West Indies with yet another century as England take command on day one of the second Test in Barbados.
43,15337,Heineken Champions Cup: Leicester 16-6 Edinburgh - Jasper Wiese try sends Tigers into last eight,"Fri, 31 Mar 2023 21:23:56 GMT",https://www.bbc.co.uk/sport/rugby-union/65141771,https://www.bbc.co.uk/sport/rugby-union/65141771?at_medium=RSS&at_campaign=KARANGA,Leicester Tigers hold off a spirited Edinburgh to win 16-6 and book their place in the quarter-finals of the Champions Cup.
44,11779,"World Cup 2022: Bellingham, Gakpo, Fernandez and other breakout stars","Fri, 16 Dec 2022 07:07:52 GMT",https://www.bbc.co.uk/sport/football/63941734,https://www.bbc.co.uk/sport/football/63941734?at_medium=RSS&at_campaign=KARANGA,BBC Sport examines the young players who have impressed with their performances at the 2022 World Cup in Qatar.
45,5890,Briton Jack Fenton killed in Greek helicopter accident,"Tue, 26 Jul 2022 17:06:55 GMT",https://www.bbc.co.uk/news/uk-england-kent-62309294,https://www.bbc.co.uk/news/uk-england-kent-62309294?at_medium=RSS&at_campaign=KARANGA,"Three people are arrested in connection with the death of 22-year-old Jack Fenton, from Kent."
46,4947,Emotional Sue Barker gets Centre Court ovation,"Sun, 03 Jul 2022 13:41:42 GMT",https://www.bbc.co.uk/sport/av/tennis/62029228,https://www.bbc.co.uk/sport/av/tennis/62029228?at_medium=RSS&at_campaign=KARANGA,Watch Sue Barker receive a standing ovation from the Centre Court crowd after John McEnroe pays an emotional tribute to the BBC presenter.
47,6614,Ukrainian skating sisters back to 'doing what they love',"Thu, 11 Aug 2022 05:20:29 GMT",https://www.bbc.co.uk/news/uk-england-wiltshire-62492213,https://www.bbc.co.uk/news/uk-england-wiltshire-62492213?at_medium=RSS&at_campaign=KARANGA,"Sisters Tetiana and Anna competed at national level, before fleeing Kyiv for Swindon in May."
48,5002,England v India: Edgbaston officials investigate crowd racism at Test,"Mon, 04 Jul 2022 22:10:43 GMT",https://www.bbc.co.uk/sport/cricket/62044395,https://www.bbc.co.uk/sport/cricket/62044395?at_medium=RSS&at_campaign=KARANGA,Edgbaston officials are investigating allegations of racist behaviour by members of the crowd during the ongoing Test between England and India.
49,1794,Newspaper headlines: Rwanda plan 'will fail' and 'SAS train Kyiv forces',"Sat, 16 Apr 2022 03:56:00 GMT",https://www.bbc.co.uk/news/blogs-the-papers-61123950,https://www.bbc.co.uk/news/blogs-the-papers-61123950?at_medium=RSS&at_campaign=KARANGA,The papers cover a plan to send migrants overseas and claims of UK special forces training troops in Ukraine.
50,4026,My Name Is Leon: Sir Lenny Henry brings 'moving' adoption story to screen,"Fri, 10 Jun 2022 02:43:34 GMT",https://www.bbc.co.uk/news/entertainment-arts-61730891,https://www.bbc.co.uk/news/entertainment-arts-61730891?at_medium=RSS&at_campaign=KARANGA,The actor and comedian on why he wanted to make a TV version of Kit de Waal's novel My Name Is Leon.
51,1337,Big Brother star Glyn Wise plans to be priest,"Mon, 04 Apr 2022 16:17:36 GMT",https://www.bbc.co.uk/news/uk-wales-60982797,https://www.bbc.co.uk/news/uk-wales-60982797?at_medium=RSS&at_campaign=KARANGA,The runner up of series seven of Big Brother says he has swapped reality TV for the church.
52,3166,"Ministers asleep at the wheel over dentist shortages, say Lib Dems","Sat, 21 May 2022 00:20:42 GMT",https://www.bbc.co.uk/news/uk-politics-61526641,https://www.bbc.co.uk/news/uk-politics-61526641?at_medium=RSS&at_campaign=KARANGA,Figures show 14% of dentists doing NHS work are approaching retirement age.
53,7868,Chris Kaba: Met suspends officer who shot dead unarmed man,"Mon, 12 Sep 2022 20:41:18 GMT",https://www.bbc.co.uk/news/uk-england-london-62878546,https://www.bbc.co.uk/news/uk-england-london-62878546?at_medium=RSS&at_campaign=KARANGA,The police watchdog has opened a homicide investigation over the death of the 24-year-old.
54,11189,World Cup 2022: What we learned from a group stage that saw record number of upsets,"Fri, 02 Dec 2022 23:21:03 GMT",https://www.bbc.co.uk/sport/football/63820511,https://www.bbc.co.uk/sport/football/63820511?at_medium=RSS&at_campaign=KARANGA,BBC Sport examines the main things to come out of a thrilling group stage at the World Cup in Qatar.
55,5318,James Webb: Nasa space telescope delivers spectacular pictures,"Tue, 12 Jul 2022 15:31:40 GMT",https://www.bbc.co.uk/news/science-environment-62140044,https://www.bbc.co.uk/news/science-environment-62140044?at_medium=RSS&at_campaign=KARANGA,"A ""stellar nursery"" and a ""cosmic dance"" are among James Webb's first batch of colour images."
56,14752,Constitution Hill: Cheltenham Champion Hurdle winner 'the horse of a generation',"Tue, 14 Mar 2023 18:50:14 GMT",https://www.bbc.co.uk/sport/horse-racing/64958336,https://www.bbc.co.uk/sport/horse-racing/64958336?at_medium=RSS&at_campaign=KARANGA,"Constitution Hill is hailed as the ""horse of a generation"" after his breathtaking Champion Hurdle victory at Cheltenham."
57,9938,At least one victim could have survived arena bomb - inquiry,"Thu, 03 Nov 2022 17:55:37 GMT",https://www.bbc.co.uk/news/uk-england-manchester-63499030,https://www.bbc.co.uk/news/uk-england-manchester-63499030?at_medium=RSS&at_campaign=KARANGA,"Emergency chiefs say they are ""truly sorry"" for failings that prevented John Atkinson's survival."
58,12522,Gareth Bale: Wales captain retires from football aged 33,"Mon, 09 Jan 2023 16:28:05 GMT",https://www.bbc.co.uk/sport/football/64214855,https://www.bbc.co.uk/sport/football/64214855?at_medium=RSS&at_campaign=KARANGA,Wales captain Gareth Bale announces his retirement from football at the age of 33.
59,442,Ukraine war: Silent streets in wiped out Donetsk town,"Mon, 14 Mar 2022 14:10:08 GMT",https://www.bbc.co.uk/news/world-europe-60739681,https://www.bbc.co.uk/news/world-europe-60739681?at_medium=RSS&at_campaign=KARANGA,"Volnovakha, a town in Donetsk region, eastern Ukraine, has been decimated by fighting."
60,11381,World Cup 2022: Vittorio Pozzo's legacy and a record that might finally be under threat,"Thu, 08 Dec 2022 00:01:04 GMT",https://www.bbc.co.uk/sport/football/63873325,https://www.bbc.co.uk/sport/football/63873325?at_medium=RSS&at_campaign=KARANGA,Vittorio Pozzo is the only coach to have won successive men's World Cup titles but remains relatively little known - for one reason.
61,9259,Train strikes: Workers vote on further six months of walkouts,"Mon, 17 Oct 2022 23:27:09 GMT",https://www.bbc.co.uk/news/business-63284534,https://www.bbc.co.uk/news/business-63284534?at_medium=RSS&at_campaign=KARANGA,The RMT union is asking members if they will support further train strikes to Spring 2023.
62,839,Eidevall '100% sure' Arsenal will advance after first-leg draw,"Wed, 23 Mar 2022 23:31:08 GMT",https://www.bbc.co.uk/sport/football/60855875,https://www.bbc.co.uk/sport/football/60855875?at_medium=RSS&at_campaign=KARANGA,"Arsenal boss Jonas Eidevall says he is ""100% sure"" his team will progress into the semi-finals of the Women's Champions League."
63,2728,Ukraine war: Returning to the place my father was killed,"Sun, 08 May 2022 05:01:00 GMT",https://www.bbc.co.uk/news/world-europe-61351772,https://www.bbc.co.uk/news/world-europe-61351772?at_medium=RSS&at_campaign=KARANGA,"As Vadim and his father tried to rescue their dogs, they were fired upon by a convoy they believe was Russian."
64,10173,Furniture firm Made collapse: Customers in the dark over refunds,"Wed, 09 Nov 2022 14:10:52 GMT",https://www.bbc.co.uk/news/business-63539652,https://www.bbc.co.uk/news/business-63539652?at_medium=RSS&at_campaign=KARANGA,Customers are told they may not be offered refunds as thousands of orders are cancelled.
65,4014,Widow of US Capitol riot officer on 'stigma' of his death,"Thu, 09 Jun 2022 22:43:16 GMT",https://www.bbc.co.uk/news/world-us-canada-61753865,https://www.bbc.co.uk/news/world-us-canada-61753865?at_medium=RSS&at_campaign=KARANGA,"Nine days after he was assaulted in the 6 January 2021 attack, Jeff Smith died by suicide."
66,10084,NHS reaches deal for life-saving breast-cancer drug,"Tue, 08 Nov 2022 00:31:41 GMT",https://www.bbc.co.uk/news/health-63540179,https://www.bbc.co.uk/news/health-63540179?at_medium=RSS&at_campaign=KARANGA,"Pembrolizumab will be offered to more women in England, to fight aggressive triple-negative tumours."
67,4623,Giant ceramic sculpture by Sandy Brown has been unveiled in Cornwall,"Fri, 24 Jun 2022 23:24:19 GMT",https://www.bbc.co.uk/news/entertainment-arts-61901365,https://www.bbc.co.uk/news/entertainment-arts-61901365?at_medium=RSS&at_campaign=KARANGA,The UK's largest ceramic sculpture has been unveiled in Cornwall - but not everyone is convinced.
68,5328,CEO Secrets: How one company attracts more men,"Tue, 12 Jul 2022 23:15:11 GMT",https://www.bbc.co.uk/news/business-62120936,https://www.bbc.co.uk/news/business-62120936?at_medium=RSS&at_campaign=KARANGA,"Mary Ellen Iskenderian, president and CEO of non-profit organisation Women's World Banking, shares her business advice."
69,2315,Boris Becker: How a tennis superstar crashed to earth,"Fri, 29 Apr 2022 18:31:30 GMT",https://www.bbc.co.uk/news/uk-61276176,https://www.bbc.co.uk/news/uk-61276176?at_medium=RSS&at_campaign=KARANGA,Boris Becker has been jailed. How did the former golden boy of tennis come to this?
70,9137,Turkish mine explosion kills 25 and leaves dozens trapped,"Fri, 14 Oct 2022 23:02:49 GMT",https://www.bbc.co.uk/news/world-europe-63261746,https://www.bbc.co.uk/news/world-europe-63261746?at_medium=RSS&at_campaign=KARANGA,Emergency workers are desperately searching for those still trapped hundreds of metres below ground.
71,14639,"Indian Wells: Andy Murray, Emma Raducanu and Jack Draper win to reach third round","Sun, 12 Mar 2023 00:21:40 GMT",https://www.bbc.co.uk/sport/tennis/64928995,https://www.bbc.co.uk/sport/tennis/64928995?at_medium=RSS&at_campaign=KARANGA,"British trio Andy Murray, Emma Raducanu and Jack Draper all win on Saturday to reach the third round at Indian Wells."
72,5826,World Athletics Championships: GB's Keely Hodgkinson narrowly misses out on gold in dramatic 800m,"Mon, 25 Jul 2022 02:09:12 GMT",https://www.bbc.co.uk/sport/av/athletics/62287875,https://www.bbc.co.uk/sport/av/athletics/62287875?at_medium=RSS&at_campaign=KARANGA,Watch as Great Britain's Keely Hodgkinson wins silver after finishing just 0.08 seconds behind the USA's Athing Mu with a time of 1minute and 56.38 seconds.
73,12791,NHS crisis: The medics trying to fix the health service,"Mon, 16 Jan 2023 06:01:54 GMT",https://www.bbc.co.uk/news/uk-64185316,https://www.bbc.co.uk/news/uk-64185316?at_medium=RSS&at_campaign=KARANGA,How doctors are spotting problems early and offering treatments at home - BBC Panorama.
74,9431,How did jet crash into a block of flats in Russia?,"Thu, 20 Oct 2022 11:25:43 GMT",https://www.bbc.co.uk/news/63313871,https://www.bbc.co.uk/news/63313871?at_medium=RSS&at_campaign=KARANGA,An investigation is under way into the crash of a fighter jet into a block of flats in Russia.
75,11438,Prince Harry and Meghan: Where do they get their money?,"Thu, 08 Dec 2022 09:24:38 GMT",https://www.bbc.co.uk/news/explainers-51047186,https://www.bbc.co.uk/news/explainers-51047186?at_medium=RSS&at_campaign=KARANGA,The Duke and Duchess are releasing a new documentary as part of a lucrative deal with Netflix
76,2719,Chelsea 4-2 Man Utd: Chelsea win historic third successive WSL title,"Sun, 08 May 2022 13:18:52 GMT",https://www.bbc.co.uk/sport/football/61288394,https://www.bbc.co.uk/sport/football/61288394?at_medium=RSS&at_campaign=KARANGA,Chelsea win a historic third successive WSL title in dramatic fashion on the final day of the season with victory over Manchester United.
77,6545,"Tory leadership: I'd rather lose doing right thing, says Sunak","Wed, 10 Aug 2022 22:05:44 GMT",https://www.bbc.co.uk/news/uk-politics-62496858,https://www.bbc.co.uk/news/uk-politics-62496858?at_medium=RSS&at_campaign=KARANGA,"The former chancellor says he has a ""moral responsibility"" to help the poorest with energy bills."
78,14239,Omagh police shooting: Four men released over John Caldwell attack,"Tue, 28 Feb 2023 23:24:45 GMT",https://www.bbc.co.uk/news/uk-northern-ireland-64797677,https://www.bbc.co.uk/news/uk-northern-ireland-64797677?at_medium=RSS&at_campaign=KARANGA,Police have been granted more time to question two men over the attack in Omagh on 22 February.
79,10432,Northern Ireland 1-0 Italy: Sarah McFadden scores famous winner in Belfast,"Tue, 15 Nov 2022 20:53:53 GMT",https://www.bbc.co.uk/sport/football/63624261,https://www.bbc.co.uk/sport/football/63624261?at_medium=RSS&at_campaign=KARANGA,Sarah McFadden scores a famous winner as Northern Ireland round out a historic 2022 with a 1-0 win over Italy at Seaview.
80,4348,Actress Clara Darcy: Why I'm starring in a play about my brain tumour,"Sat, 18 Jun 2022 00:08:48 GMT",https://www.bbc.co.uk/news/entertainment-arts-61796139,https://www.bbc.co.uk/news/entertainment-arts-61796139?at_medium=RSS&at_campaign=KARANGA,Actress Clara Darcy says she is grateful for having had a rare form of brain cancer.
81,738,Bridgerton: South Asian faces on TV 'makes me happy',"Tue, 22 Mar 2022 01:18:16 GMT",https://www.bbc.co.uk/news/entertainment-arts-60819829,https://www.bbc.co.uk/news/entertainment-arts-60819829?at_medium=RSS&at_campaign=KARANGA,"The casting in Bridgerton's second season is opening up an important conversation, aspiring actors say."
82,7874,Prince Harry remembers Queen Elizabeth II's infectious smile,"Mon, 12 Sep 2022 14:23:04 GMT",https://www.bbc.co.uk/news/uk-62875589,https://www.bbc.co.uk/news/uk-62875589?at_medium=RSS&at_campaign=KARANGA,"The Duke of Sussex thanks his late grandmother, saying ""you and grandpa are reunited now""."
83,10083,Millions to receive latest cost-of-living payment,"Tue, 08 Nov 2022 00:05:10 GMT",https://www.bbc.co.uk/news/business-63543805,https://www.bbc.co.uk/news/business-63543805?at_medium=RSS&at_campaign=KARANGA,People on low incomes who receive certain benefits will start getting their second instalment of £324.
84,5335,Joe Biden heads to Middle East amid faltering US sway,"Tue, 12 Jul 2022 23:58:15 GMT",https://www.bbc.co.uk/news/world-middle-east-62133978,https://www.bbc.co.uk/news/world-middle-east-62133978?at_medium=RSS&at_campaign=KARANGA,The US president's visit to the turbulent region may highlight the limits of American power.
85,15207,NHS: Public satisfaction with health service drops to record low,"Tue, 28 Mar 2023 23:58:25 GMT",https://www.bbc.co.uk/news/health-65093449,https://www.bbc.co.uk/news/health-65093449?at_medium=RSS&at_campaign=KARANGA,"Just 29% of Britons say they are satisfied, citing waiting times and lack of staff as key concerns."
